METRICS,CC-TCTD
ERA5,0.727782
EXP01,0.732132
EXP02,0.652632
EXP03,0.309424
EXP04,0.685451
EXP05,0.681814
EXP06,0.669132
EXP07,0.732221
EXP08,0.711978
EXP09,0.120162
EXP11,0.0166905
EXP13,0.612395
EXP14,0.395319
EXP15,0.316312
EXP16,0.643467
EXP17,0.570734
EXP18,0.546189
EXP19,0.742467
EXP20,0.4635
EXP21,0.0190154
EXP25,0.603267
EXP26,0.629544
EXP27,0.442626
EXP28,0.623815
EXP29,0.722437
EXP30,0.615179
EXP31,0.696131
EXP32,0.70163
EXP33,0.0679087
EXP37,0.690829
EXP38,0.664559
EXP39,0.20706
EXP40,0.714688
EXP41,0.663927
EXP42,0.502664
EXP43,0.695362
EXP44,0.641481
EXP45,0.051047
EXP47,0.06